ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
808;Volkswagen Arena                                            ;28917;154;154;St. Kitts & Nevis                                 ;
809;Vonovia Ruhrstadion                                         ;26000;154;154;St. Kitts & Nevis                                 ;
810;Vorskla im. Oleksiy Butovskyi                               ;23842;154;154;St. Kitts & Nevis                                 ;
811;VTB-Arena                                                   ;25716;154;154;St. Kitts & Nevis                                 ;
812;Wohninvest-Weserstadion                                     ;42100;154;154;St. Kitts & Nevis                                 ;
813;WWK ARENA                                                   ;30660;154;154;St. Kitts & Nevis                                 ;
816;Yekaterinburg Arena                                         ;23000;154;154;St. Kitts & Nevis                                 ;
817;Yeni  Eylül Stadi                                           ;27532;154;154;St. Kitts & Nevis                                 ;
818;Yeni Adana Stadyumu                                         ;33000;154;154;St. Kitts & Nevis                                 ;
819;Yeni Malatya Stadyumu                                       ;25745;154;154;St. Kitts & Nevis                                 ;
820;Zentralstadion Krasnoyarsk                                  ;15000;154;154;St. Kitts & Nevis                                 ;
821;Zentralstadion Lokomotiv                                    ;17856;154;154;St. Kitts & Nevis                                 ;
822;Zirka                                                       ;14628;154;154;St. Kitts & Nevis                                 ;
823;Zvezda                                                      ;17000;154;154;St. Kitts & Nevis                                 ;
774;Stadium of Light                                            ;48707;154;154;St. Kitts & Nevis                                 ;
2559;CEAHLAUL                                                    ;15000;154;154;St. Kitts & Nevis                                 ;
885;TARCZYNSKI ARENA WROCLAW                                    ;41955;154;154;St. Kitts & Nevis                                 ;
1000;NATIONAL STADIUM (BIRD'S NEST)                              ;60000;154;154;St. Kitts & Nevis                                 ;
1005;NEFTCHI ARENA                                               ;11000;154;154;St. Kitts & Nevis                                 ;
1037;WEMBLEY STADIUM                                             ;89472;154;154;St. Kitts & Nevis                                 ;
1060;WESERSTADION                                                ;10093;154;154;St. Kitts & Nevis                                 ;
1148;STADIUMI I QYTETIT TË SUHAREKËS                             ;12000;154;154;St. Kitts & Nevis                                 ;
1178;STADE DE PORT-GENTIL                                        ;34658;154;154;St. Kitts & Nevis                                 ;
1220;DONBASS ARENA                                               ;53423;154;154;St. Kitts & Nevis                                 ;
1227;STADE IBN BATOUTA                                           ;47137;154;154;St. Kitts & Nevis                                 ;
1240;COMPLEXE SPORTIF MOULAY ABDALLAH                            ;44439;154;154;St. Kitts & Nevis                                 ;
1258;UNIVERSIADE CENTER, NEW SHENZHEN STADIUM                    ;41237;154;154;St. Kitts & Nevis                                 ;
1265;ESTADIO CIUDAD DE LOS DEPORTES                              ;34862;154;154;St. Kitts & Nevis                                 ;
1268;TOFIK BAKHRAMOV STADION                                     ;29000;154;154;St. Kitts & Nevis                                 ;
1297;SAPUTO STADIUM                                              ;20057;154;154;St. Kitts & Nevis                                 ;
1369;STADION DER FREUNDSCHAFT                                    ;20602;154;154;St. Kitts & Nevis                                 ;
1385;STADION IM. ZDZISLAWA KRZYSZKOWIAKA                         ;11200;154;154;St. Kitts & Nevis                                 ;
1388;SHANGHAI STADIUM                                            ;30000;154;154;St. Kitts & Nevis                                 ;
1392;STADIONUL MUNICIPAL                                         ;14438;154;154;St. Kitts & Nevis                                 ;
1400;RUDOLF-HARBIG-STADION                                       ;30503;154;154;St. Kitts & Nevis                                 ;
1401;ZAYED SPORTS CITY STADIUM                                   ;41094;154;154;St. Kitts & Nevis                                 ;
1479;KARL-HEITZ-STADION                                          ;10000;154;154;St. Kitts & Nevis                                 ;
1553;PUSKÁS ARÉNA                                                ;61476;154;154;St. Kitts & Nevis                                 ;
1561;MURRAYFIELD                                                 ;32852;154;154;St. Kitts & Nevis                                 ;
1572;KHALIFA INTERNATIONAL STADIUM                               ;45416;154;154;St. Kitts & Nevis                                 ;
1621;KONING BOUDEWIJN STADION                                    ;19786;154;154;St. Kitts & Nevis                                 ;
1647;SPOTIFY CAMP NOU                                            ;99354;154;154;St. Kitts & Nevis                                 ;
1696;KING FAHD INTERNATIONAL STADIUM                             ;68752;154;154;St. Kitts & Nevis                                 ;
1697;ADJARABET ARENA                                             ;20022;154;154;St. Kitts & Nevis                                 ;
1715;MRSOOL PARK                                                 ;23500;154;154;St. Kitts & Nevis                                 ;
1764;GHENCEA (-)                                                 ;14841;154;154;St. Kitts & Nevis                                 ;
1791;TIVOLI                                                      ;31736;154;154;St. Kitts & Nevis                                 ;
1792;ARENA ZABRZE                                                ;19528;154;154;St. Kitts & Nevis                                 ;
1824;STADE CHABAN-DELMAS                                         ;26609;154;154;St. Kitts & Nevis                                 ;
