ID;Nome;Capacidade;EstadioID;total_jogos
944;DIMOTIKO STADIO THIVAS                                      ;0;;
945;STÄDTISCHES STADION HUSTERHÖHE                              ;4000;;
946;NUESTRA SEÑORA DE LA CARIDAD                                ;800;;
947;LA CASETA                                                   ;400;;
948;GIUSEPPE SINIGAGLIA                                         ;613;;
949;VICTORIA PARK                                               ;800;;
950;NOVA ARENA                                                  ;88;;
951;"GIPEDO PANACHAIKI ""KOSTAS DAVOURLIS""                        ";5000;;
952;PARQUE DESPORTIVO E MUNICIPAL DE MAFRA                      ;420;;
953;SPORTPARK DE HOGE BOMEN                                     ;400;;
954;STADIUM IM. A.I.KOLOSOVA                                    ;3000;;
955;VICTORIA ROAD                                               ;900;;
956;ENGENHEIRO CARLOS SALEMA                                    ;482;;
957;YUD-ALEF STADION                                            ;2410;;
958;NOU SARDENYA                                                ;4032;;
959;WHADDON ROAD                                                ;1381;;
960;SPORTPARK GOED GENOEG                                       ;800;;
961;ALLIANCE PARK                                               ;0;;
962;BOROUGH BRIGGS                                              ;858;;
963;SARRIENA                                                    ;1200;;
964;PENNY CARS STADIUM                                          ;854;;
965;CARLOS BELMONTE                                             ;4500;;
966;BOUNDARY PARK                                               ;9473;;
967;BEVEREE STADIUM                                             ;2720;;
968;RUBLEVO                                                     ;50;;
969;SKB-BANK ARENA                                              ;9900;;
970;SPORTPARK PAPENDORP                                         ;0;;
971;ZNAMYA TRUDA                                                ;800;;
972;STADION SKA                                                 ;468;;
973;SPORTPARK DE MUNSTERMAN                                     ;350;;
974;BRAVIDA ARENA                                               ;823;;
975;KIRKBY ROAD                                                 ;843;;
976;RAMAT GAN NATIONALSTADION                                   ;3106;;
977;JOSÉ RICO PÉREZ                                             ;8567;;
978;NORTH LODGE PARK                                            ;776;;
979;EXCELSIOR STADIUM                                           ;44;;
980;DIMOTIKO STADIO NEAS ARTAKIS                                ;0;;
981;DIMOTIKO GIPEDO ELASSONAS                                   ;0;;
982;BIOLOG PROGRESS                                             ;800;;
983;H2T GROUP STADIUM                                           ;4558;;
984;WAR MEMORIAL GROUND                                         ;2520;;
985;SPARTAK (RESERVE FIELD)                                     ;250;;
986;KØGE STADION                                                ;0;;
987;URARTU STADIUM                                              ;3900;;
988;AUGUST-WENZEL-STADION                                       ;2585;;
989;STADION WANKDORF                                            ;9553;;
990;DIMOTIKO GIPEDO GAZIOU                                      ;0;;
991;ZSK VITEBSK                                                 ;5350;;
992;OTTERUP STADION                                             ;645;;
993;GENFOREGNINGSPLADSEN                                        ;0;;
994;SILVESTRE CARRILLO                                          ;700;;
995;DIMOTIKO GIPEDO FELONIS                                     ;0;;
996;TOFTA LEIKVØLLUR                                            ;587;;
997;SPORTPARK 'T SLOT                                           ;650;;
998;LYSENG STADION                                              ;0;;
999;NUEVO LASESARRE                                             ;800;;
1000;NATIONAL STADIUM (BIRD'S NEST)                              ;60000;;
1001;KALININGRAD STADIUM                                         ;500;;
1002;XL-BYG ARENA                                                ;97;;
1003;WALDSTADION HOMBURG                                         ;6150;;
1004;ELEKTRON                                                    ;800;;
1005;NEFTCHI ARENA                                               ;11000;;
1006;PROKIT UK STADIUM                                           ;2545;;
1007;CIUDAD DEPORTIVA ANTONIO SOLANA                             ;0;;
1008;SPORTPARK MOLENVLIET                                        ;0;;
1009;STADIUMI FLAMURTARI                                         ;6000;;
1010;MILANO ARENA                                                ;800;;
